username,first_detected,repos_affected,issues_created,last_updated
Faithbright,2025-04-07 22:33:03,351,411,2025-04-08 01:55:26
UMAIRPRO1996,2025-04-07 22:34:56,175,175,2025-04-08 01:55:26
Mohapp2024,2025-04-07 22:33:03,249,249,2025-04-07 22:34:56
sahilkaushal006,2025-04-08 01:55:26,313,327,2025-04-08 02:26:21
donovangonzalez,2025-04-08 01:49:04,403,403,2025-04-08 02:08:01
hihoneeee,2025-04-07 22:33:03,1,4,2025-04-07 22:33:03
juanjesusitsur,2025-04-07 22:33:03,277,277,2025-04-07 22:33:03
Itomiee,2025-04-07 22:33:03,12,12,2025-04-07 22:33:03
DJMike2023,2025-04-08 02:26:21,26,27,2025-04-08 02:26:21
Luc4sf,2025-04-07 22:33:03,427,427,2025-04-07 22:33:03
